"phecode","ICD","flag"
"ID_005.1","015.11",9
"ID_005.1","015.21",9
"ID_005.1","015.51",9
"ID_005.1","011.32",9
"ID_005.1","015.61",9
"ID_005.1","015.71",9
"ID_005.1","015.81",9
"ID_005.1","015.91",9
"ID_005.1","016.00",9
"ID_005.1","016.10",9
"ID_005.1","016.20",9
"ID_005.1","016.30",9
"ID_005.1","016.40",9
"ID_005.1","016.50",9
"ID_005.1","011.92",9
"ID_005.1","016.60",9
"ID_005.1","012.03",9
"ID_005.1","012.15",9
"ID_005.1","017.00",9
"ID_005.1","012.85",9
"ID_005.1","P37.0",10
"ID_005.1","013.15",9
"ID_005.1","013.25",9
"ID_005.1","013.33",9
"ID_005.1","013.41",9
"ID_005.1","013.51",9
"ID_005.1","010.1",9
"ID_005.1","013.8",9
"ID_005.1","013.9",9
"ID_005.1","014",9
"ID_005.1",647.33,9
"ID_005.1","010.93",9
"ID_005.1","014.82",9
"ID_005.1","015.01",9
"ID_005.1","011.12",9
"ID_005.1","011.76",9
"ID_005.1","A17.83",10
"ID_005.1","013.00",9
"ID_005.1","011.3",9
"ID_005.1","011.5",9
"ID_005.1","011.60",9
"ID_005.1","B90.8",10
"ID_005.1","011.64",9
